City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Kibala,TD,77.0,9.11,18.35,
1,Kapaa,US,82.4,22.08,-159.32,
3,Rikitea,PF,74.61,-23.12,-134.97,
6,Tarakan,ID,79.95,3.3,117.63,
9,Faanui,PF,79.75,-16.48,-151.75,
18,Cam Ranh,VN,78.8,11.92,109.16,
20,Coihueco,CL,71.6,-36.62,-71.83,
21,Itoman,JP,77.0,26.12,127.67,
28,Avarua,CK,75.2,-21.21,-159.78,
29,Mana,GF,77.88,5.66,-53.78,
32,Samarai,PG,81.19,-10.62,150.67,
34,Moberly,US,77.0,39.42,-92.44,
36,Piacabucu,BR,77.94,-10.41,-36.43,
37,East London,ZA,70.27,-33.02,27.91,
40,Vaini,TO,78.8,-21.2,-175.2,
44,Naze,JP,77.0,28.37,129.48,
46,Atuona,PF,78.78,-9.8,-139.03,
47,Billings,US,71.6,45.78,-108.5,
52,Doha,QA,80.6,25.29,51.53,
54,Souillac,MU,73.4,-20.52,57.52,
55,Progreso,MX,81.0,21.28,-89.67,
56,Butaritari,KI,82.22,3.07,172.79,
58,Estelle,US,72.0,29.85,-90.11,
66,Rincon,US,75.2,32.3,-81.24,
67,Marabba,SD,82.8,12.35,32.18,
68,Alice Town,BS,79.56,25.72,-79.3,
73,Saint George,US,84.99,37.1,-113.58,
84,Sambava,MG,73.24,-14.27,50.17,
88,Gorontalo,ID,78.57,0.54,123.06,
96,Itapirapua,BR,80.2,-15.82,-50.61,
97,Hithadhoo,MV,83.1,-0.6,73.08,
99,Lakeside,US,75.0,30.13,-81.77,
101,Japura,ID,73.85,-0.32,102.35,
105,Bima,ID,81.12,-8.47,118.72,
109,Victoria,HK,72.0,22.29,114.16,
111,Kavieng,PG,83.57,-2.57,150.8,
112,Gurupa,BR,79.34,-1.41,-51.64,
115,Sao Miguel Do Araguaia,BR,82.18,-13.28,-50.16,
117,Saint-Philippe,RE,71.6,-21.36,55.77,
119,Bowen,AU,82.4,-20.02,148.23,
120,Galesong,ID,81.99,-5.32,119.37,
121,Mahebourg,MU,73.4,-20.41,57.7,
124,Acapulco,MX,86.0,16.86,-99.89,
128,San Cristobal,VE,84.2,7.77,-72.22,
129,Avera,US,73.4,33.19,-82.53,
130,Emerald,AU,75.99,-23.53,148.17,
135,Tutoia,BR,81.14,-2.76,-42.27,
140,Aldama,MX,80.01,22.92,-98.07,
142,Cabo San Lucas,MX,86.0,22.89,-109.91,
143,Cockburn Town,TC,81.75,21.46,-71.14,
145,Padang,ID,78.1,-0.95,100.35,
146,Georgetown,MY,77.0,5.41,100.34,
147,Hilo,US,87.8,19.73,-155.09,
148,Kalabo,ZM,71.69,-14.97,22.68,
149,Laguna,US,82.99,38.42,-121.42,
155,Dondo,MZ,78.8,-19.61,34.74,
157,Nuevo Progreso,MX,80.01,23.17,-97.95,
159,Junqueiropolis,BR,76.46,-21.51,-51.43,
160,Isangel,VU,86.0,-19.55,169.27,
162,Harper,LR,78.82,4.38,-7.72,
164,Kapoeta,SS,81.59,4.77,33.59,
168,Ishigaki,JP,78.8,24.34,124.16,
169,Sorong,ID,80.24,-0.88,131.25,
170,Atascocita,US,79.0,30.0,-95.18,
173,Dingle,PH,77.11,11.0,122.67,
177,Oistins,BB,80.6,13.07,-59.53,
178,Coronado,US,90.0,32.69,-117.18,
179,Aripuana,BR,82.29,-9.17,-60.63,
182,Atar,MR,84.04,20.52,-13.05,
183,Puerto Ayora,EC,71.01,-0.74,-90.35,
186,Miri,MY,75.2,4.41,114.01,
187,Itacare,BR,75.78,-14.28,-39.0,
189,Moerai,PF,77.14,-22.43,-151.33,
190,Lampazos De Naranjo,MX,79.0,27.02,-100.52,
