City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Arlit,NE,76.28,18.74,7.39,Hôtel Telwa Bungalow
3,Montepuez,MZ,73.89,-13.13,39.0,RESIDÊNCIAL LANCHONETE
4,Cockburn Town,TC,78.8,21.46,-71.14,Osprey Beach Hotel
8,Caravelas,BR,76.48,-17.71,-39.25,Pousada dos Navegantes
10,Atuona,PF,77.86,-9.8,-139.03,Villa Enata
12,Vaini,TO,78.8,-21.2,-175.2,Keleti Beach Resort
19,Jacareacanga,BR,88.65,-6.22,-57.75,Casa do Ian😎
24,Limbang,MY,78.8,4.75,115.0,Purnama Hotel
25,Janauba,BR,80.17,-15.8,-43.31,Ouro Norte Palace Hotel
32,Bilma,NE,71.24,18.69,12.92,Expeditions Ténére voyages
35,Inhambane,MZ,78.8,-23.86,35.38,Oceano
36,Faanui,PF,78.93,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Nederland,US,82.4,29.97,-93.99,Holiday Inn Express & Suites Port Arthur Central-Mall Area
39,Saint-Philippe,RE,73.4,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
42,Butaritari,KI,81.05,3.07,172.79,Isles Sunset Lodge
44,Pascagoula,US,78.8,30.37,-88.56,Regency Inn
45,Soyo,AO,77.95,-6.13,12.37,Hotel Mpampa
46,Rikitea,PF,71.46,-23.12,-134.97,Pension Maro'i
47,Mar Del Plata,AR,71.6,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
53,Bethel,US,73.4,41.37,-73.41,Courtyard by Marriott Danbury
55,Mahebourg,MU,73.4,-20.41,57.7,Shandrani Beachcomber Resort & Spa
57,Trincomalee,LK,81.95,8.57,81.23,Welcombe Hotel
58,Bhatkal,IN,79.0,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
60,Arraial Do Cabo,BR,75.2,-22.97,-42.03,Pousada Porto Praia
61,Brenham,US,81.0,30.17,-96.4,Hampton Inn & Suites Brenham
70,Kavaratti,IN,82.98,10.57,72.64,Hotels in Lakshadweep Islands
74,Siloam Springs,US,73.4,36.19,-94.54,Cherokee Hotel & Casino West Siloam Springs
76,Palauig,PH,78.67,15.44,119.9,Myhousebythesea
80,Itarema,BR,80.87,-2.92,-39.92,Windvillage
82,Cairns,AU,77.0,-16.92,145.77,Mantra Trilogy Cairns
86,Hilo,US,80.01,19.73,-155.09,Hilo Hawaiian Hotel
88,Acapulco,MX,87.8,16.86,-99.89,HS Hotsson Smart Acapulco
89,Kattivakkam,IN,77.0,13.22,80.32,St. Joseph Thirumana mandapam
91,Guerrero Negro,MX,70.47,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
92,Rodrigues Alves,BR,89.6,-7.74,-72.65,Pousada Aconchego
100,Souillac,MU,73.4,-20.52,57.52,Bils' Villa
102,Naze,JP,73.4,28.37,129.48,奄美ポートタワーホテル
105,Kralendijk,BQ,86.0,12.15,-68.27,Divi Flamingo Beach Resort & Casino
107,Hithadhoo,MV,82.87,-0.6,73.08,Scoop Guest House
110,Vila Velha,BR,77.0,-20.33,-40.29,Hotel Vitória Palace
113,Bambous Virieux,MU,73.4,-20.34,57.76,Casa Tia Villa
116,Kapaa,US,82.4,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
123,Poum,NC,76.82,-20.23,164.02,Gîte kajeon
126,Port-Gentil,GA,78.8,-0.72,8.78,Fengshui Residence
131,Victoria,HK,78.01,22.29,114.16,Mini Hotel Central
132,Namatanai,PG,81.68,-3.67,152.43,Namatanai Hotel
142,Boa Vista,BR,78.8,2.82,-60.67,Aipana Plaza Hotel
143,Morrope,PE,80.01,-6.54,-80.01,Hospedaje Santa Rosa
146,Clarksburg,US,73.4,39.28,-80.34,Greenbrier Motel & Restaurant
147,Capinopolis,BR,88.7,-18.68,-49.57,Tropical Hotel
148,Prachuap Khiri Khan,TH,71.51,12.22,99.75,สมบัติยาย
149,Kaeo,NZ,71.01,-35.1,173.78,Bushido Lodge
151,Marfino,RU,71.11,55.7,37.38,Kardiologicheskiy Sanatornyy Tsentr Peredelkino
154,Coahuayana,MX,84.2,18.73,-103.68,Hotel Los Arcos
155,Pandan,PH,78.73,14.05,124.17,Bonifacio Lodge
164,Dingle,PH,73.4,11.0,122.67,SEGAYA PROPERTY
168,Beihai,CN,70.32,21.48,109.1,21 Degree Hostel
169,Vallenar,CL,78.37,-28.57,-70.76,Humacao Bed & Breakfast
172,Saint Anthony,US,73.4,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
173,Jacqueville,CI,82.4,5.21,-4.41,Hotel Le Martin Pecheur
178,Castro,BR,71.47,-24.79,-50.01,CHACARA BAILLY
179,Natitingou,BJ,77.0,10.3,1.38,Auberge Centrale
181,Ottumwa,US,73.0,41.02,-92.41,Hampton Inn Ottumwa
184,Pitimbu,BR,80.6,-7.47,-34.81,Reserva do Abiaí
185,Wilmington,US,78.8,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
191,Sinnamary,GF,81.25,5.38,-52.95,ALETHEIA Appartement Sinnamary
192,Mitsamiouli,KM,79.92,-11.38,43.28,Foyer ADM
194,Sao Filipe,CV,79.7,14.9,-24.5,Tortuga B&B
195,Kahului,US,84.2,20.89,-156.47,Maui Seaside Hotel
196,Puerto Ayora,EC,78.8,-0.74,-90.35,Finch Bay Galapagos Hotel
199,Georgetown,MY,78.8,5.41,100.34,Cititel Penang
201,Los Algarrobos,PA,80.01,8.5,-82.43,Waterfall Hostel
202,Itaueira,BR,82.94,-7.6,-43.03,Hotel Pousada Luz
204,Manono,CD,72.23,-7.3,27.42,Hotel hewa bora
205,Cedartown,US,71.01,34.05,-85.25,Quality Inn
209,Mayumba,GA,77.97,-3.43,10.66,LIKWALE LODGE
210,Kamphaeng Phet,TH,73.13,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
211,Mayo,US,70.0,38.89,-76.51,Resorts Resource Group International
212,Pochutla,MX,89.01,15.74,-96.47,Hotel Posada San Jose
215,Denpasar,ID,75.97,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
217,Mount Isa,AU,77.0,-20.73,139.5,ibis Styles Mt Isa Verona
221,Bucerias,MX,86.0,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
222,Bengkulu,ID,75.83,-3.8,102.27,Grage Hotel Bengkulu
223,Avarua,CK,75.2,-21.21,-159.78,Paradise Inn
224,Guiratinga,BR,87.82,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
225,Sibolga,ID,77.0,1.74,98.78,Hotel Syariah CN Darussalam
229,Becerril,CO,83.57,9.7,-73.28,Hotel Carlington
230,Cap Malheureux,MU,71.01,-19.98,57.61,Pereybere Hotel & Spa
231,Alofi,NU,77.0,-19.06,-169.92,Taloa Heights
241,Chiredzi,ZW,84.67,-21.05,31.67,The Nesbitt Arms
247,Banjar,ID,75.58,-8.19,114.97,The Hamsa Resort
251,Coracao De Jesus,BR,89.6,-16.69,-44.37,Hotel Neves
252,Banda Aceh,ID,78.46,5.56,95.32,OYO 884 Rumoh PMI Hotel
254,Noumea,NC,79.0,-22.28,166.46,Hôtel Le Lagon
255,Rapid Valley,US,75.99,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
258,Calabozo,VE,83.68,8.92,-67.43,Hotel Giardini
260,Laranjal Paulista,BR,78.96,-23.05,-47.84,Vale Verde Palace Hotel
265,Cabo San Lucas,MX,84.0,22.89,-109.91,Hotel Tesoro Los Cabos
268,Nhulunbuy,AU,77.0,-12.23,136.77,East Arnhem Real Estate
269,Sarangani,PH,82.04,5.4,125.46,Ballistic Islet
270,Saint-Pierre,RE,73.4,-21.34,55.48,Lindsey Hôtel
271,Namibe,AO,70.39,-15.2,12.15,Hotel Chik Chik Namibe
272,Atar,MR,87.04,20.52,-13.05,Oumou Elghoura
273,Talaja,IN,77.94,21.35,72.05,Velvettas Resorts
274,Takoradi,GH,79.05,4.88,-1.76,Raybow International Hotel
275,Miracema Do Tocantins,BR,81.95,-9.56,-48.4,Miami Apart Hotel
282,Anloga,GH,82.4,5.79,0.9,Pin Drop Hotel
287,Richards Bay,ZA,71.56,-28.78,32.04,BON Hotel Waterfront Richards Bay
288,Labuhan,ID,78.49,-6.88,112.21,bador sepret
291,Mucuri,BR,77.43,-18.09,-39.55,La Bodeguita Pousada
295,Salalah,OM,75.2,17.02,54.09,HAMDAN PLAZA HOTEL
297,Carauari,BR,87.67,-4.88,-66.9,Pousada Lobo
298,Buin,CL,87.8,-33.73,-70.75,Paihuen
300,Belmonte,BR,78.8,-15.86,-38.88,Pousada Monte Carmelo O Pão
302,Florianopolis,BR,75.2,-27.61,-48.5,Hotel Boutique Quinta das Videiras
304,Nouadhibou,MR,71.6,20.93,-17.03,El Medina
307,Acarau,BR,81.25,-2.89,-40.12,castelo pizzaria
308,Quatre Cocos,MU,73.4,-20.21,57.76,Emeraude Beach Attitude Hotel
309,Grand Gaube,MU,71.01,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
313,Robertsport,LR,80.71,6.75,-11.37,Kwepunha Retreat
