City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vendas Novas,38.68,-8.46,62.6,88,40,13.87,PT,2020-11-07 20:36:29
1,Arlit,18.74,7.39,76.28,23,0,13.06,NE,2020-11-07 20:36:29
2,Santa Cruz,-17.8,-63.17,100.4,29,0,17.22,BO,2020-11-07 20:33:45
3,Montepuez,-13.13,39.0,73.89,69,50,8.77,MZ,2020-11-07 20:33:51
4,Cockburn Town,21.46,-71.14,78.8,78,90,11.41,TC,2020-11-07 20:35:10
5,Lubumbashi,-11.66,27.48,69.15,31,16,3.87,CD,2020-11-07 20:36:29
6,Yellowknife,62.46,-114.35,12.99,85,90,5.82,CA,2020-11-07 20:36:45
7,Tuktoyaktuk,69.45,-133.04,26.6,79,75,21.92,CA,2020-11-07 20:37:19
8,Caravelas,-17.71,-39.25,76.48,84,0,5.82,BR,2020-11-07 20:37:19
9,Grindavik,63.84,-22.43,41.0,75,75,23.04,IS,2020-11-07 20:37:19
10,Atuona,-9.8,-139.03,77.86,70,66,13.4,PF,2020-11-07 20:37:20
11,Barrow,71.29,-156.79,30.2,92,90,25.28,US,2020-11-07 20:37:20
12,Vaini,-21.2,-175.2,78.8,74,20,6.93,TO,2020-11-07 20:36:30
13,Ushuaia,-54.8,-68.3,60.8,41,75,12.75,AR,2020-11-07 20:36:30
14,Cape Town,-33.93,18.42,64.0,82,75,18.34,ZA,2020-11-07 20:32:28
15,Kargasok,59.06,80.86,35.53,84,100,11.74,RU,2020-11-07 20:37:21
16,Skibbereen,51.55,-9.27,53.6,100,75,9.17,IE,2020-11-07 20:37:21
17,Belaya Gora,68.53,146.42,-2.6,92,100,2.73,RU,2020-11-07 20:36:30
18,Barrhead,55.8,-4.39,42.01,93,90,5.82,GB,2020-11-07 20:36:30
19,Jacareacanga,-6.22,-57.75,88.65,56,94,0.96,BR,2020-11-07 20:36:30
20,Dovbysh,50.37,27.99,42.75,95,0,4.81,UA,2020-11-07 20:36:31
21,New Norfolk,-42.78,147.06,45.0,81,20,8.05,AU,2020-11-07 20:36:31
22,Codrington,-38.27,141.97,46.54,86,4,5.53,AU,2020-11-07 20:36:31
23,Punta Arenas,-53.15,-70.92,60.8,51,40,31.09,CL,2020-11-07 20:36:31
24,Limbang,4.75,115.0,78.8,88,75,2.24,MY,2020-11-07 20:36:31
25,Janauba,-15.8,-43.31,80.17,64,84,6.78,BR,2020-11-07 20:36:31
26,Kruisfontein,-34.0,24.73,63.0,77,0,4.74,ZA,2020-11-07 20:36:31
27,Nikolskoye,59.7,30.79,48.2,87,90,13.42,RU,2020-11-07 20:36:31
28,Constitucion,-35.33,-72.42,64.63,56,0,16.37,CL,2020-11-07 20:36:31
29,Albany,42.6,-73.97,73.4,43,75,5.82,US,2020-11-07 20:36:31
30,Suicheng,33.9,117.93,50.65,45,0,4.79,CN,2020-11-07 20:36:31
31,Loikaw,19.67,97.21,64.33,93,0,2.39,MM,2020-11-07 20:36:32
32,Bilma,18.69,12.92,71.24,28,0,11.95,NE,2020-11-07 20:36:32
33,Pevek,69.7,170.31,16.29,96,99,2.62,RU,2020-11-07 20:36:32
34,Ribeira Grande,38.52,-28.7,59.0,77,20,6.93,PT,2020-11-07 20:36:32
35,Inhambane,-23.86,35.38,78.8,88,0,13.87,MZ,2020-11-07 20:36:32
36,Faanui,-16.48,-151.75,78.93,79,70,12.01,PF,2020-11-07 20:36:32
37,Busselton,-33.65,115.33,55.0,66,50,3.2,AU,2020-11-07 20:36:32
38,Nederland,29.97,-93.99,82.4,54,1,8.05,US,2020-11-07 20:36:32
39,Saint-Philippe,-21.36,55.77,73.4,78,0,11.41,RE,2020-11-07 20:36:33
40,Geraldton,-28.77,114.6,68.0,77,90,8.05,AU,2020-11-07 20:36:33
41,Mataura,-46.19,168.86,50.0,57,65,10.0,NZ,2020-11-07 20:36:33
42,Butaritari,3.07,172.79,81.05,72,100,10.67,KI,2020-11-07 20:36:33
43,Chokurdakh,70.63,147.92,2.44,95,100,5.7,RU,2020-11-07 20:36:33
44,Pascagoula,30.37,-88.56,78.8,61,1,9.17,US,2020-11-07 20:31:46
45,Soyo,-6.13,12.37,77.95,86,69,8.25,AO,2020-11-07 20:36:33
46,Rikitea,-23.12,-134.97,71.46,72,42,16.82,PF,2020-11-07 20:36:33
47,Mar Del Plata,-38.0,-57.56,71.6,60,0,3.36,AR,2020-11-07 20:36:13
48,Jalu,29.03,21.55,64.35,69,0,12.88,LY,2020-11-07 20:36:33
